Unnamed: 0,PLZ,TUEREN,PREIS,MARKE,MODELL,REGDATE,KM_STAND,LEISTUNG_PS,FARBE,TREIBSTOFF,AUFBAU,GETRIEBE_TYP
0,5405,5,18400,Renault,Captur,2018,40'000 - 44'999,118,Sonstige,0,3,0
1,5502,5,12500,Mercedes-Benz,Viano,2007,180'000 - 189'999,150,Grau,1,2,0
2,5200,3,13900,Fiat,500,2019,45'000 - 49'999,85,Weiss,0,1,1
3,5317,5,27900,Audi,A6,2015,110'000 - 119'999,218,Grau,1,0,0
4,5745,5,46500,Volvo,XC60,2021,20'000 - 24'999,250,Grau,2,3,0
5,5610,5,42989,SEAT,Cupra Ateca,2021,15'000 - 19'999,300,Grau,0,3,0
6,5734,2,47600,Ferrari,360,1979,85'000 - 89'999,250,Rot,0,4,0
7,5102,5,105400,BMW,X-serien,2022,0 - 4'999,394,Schwarz,2,3,0
8,5733,5,10800,Volkswagen,Polo,2011,140'000 - 149'999,180,Weiss,0,1,0
9,5000,2,56800,BMW,Z-serien,2019,10'000 - 14'999,340,Schwarz,0,4,0
12,5037,5,1900,Audi,A4,2002,350'000 - 399'999,180,Grau,1,0,0
13,5452,5,15900,Mini,Mini Countryman,2014,110'000 - 119'999,184,Weiss,0,3,1
14,5037,5,6900,Ford,S-Max,2007,130'000 - 139'999,145,Silber,0,2,1
15,5600,5,9999,Mercedes-Benz,C-CLASS,2012,300'000 - 349'999,204,Grau,1,0,0
16,5603,5,4600,Nissan,Micra,2012,120'000 - 129'999,98,Braun,0,1,1
17,5082,2,71500,Dodge,Challenger,2020,15'000 - 19'999,492,Grau,0,5,0
19,5644,2,10600,Audi,TTS / TTRS,2008,200'000 - 249'999,272,Grau,0,5,1
20,4665,3,11950,BMW,335,2007,190'000 - 199'999,306,Braun,0,4,1
21,5604,5,92900,Alfa Romeo,Stelvio,2020,30'000 - 34'999,510,Blau,0,3,0
22,5502,5,23950,BMW,325,1989,25'000 - 29'999,170,Weiss,0,0,1
23,5036,5,9900,Suzuki,Swift,2019,100'000 - 109'999,136,Weiss,0,1,1
24,5614,4,30000,Subaru,Impreza,2005,140'000 - 149'999,224,Silber,0,1,1
25,5420,3,8800,Toyota,RAV4,2005,140'000 - 149'999,150,Grau,0,3,0
26,5734,2,34800,Pontiac,GTO,2006,80'000 - 84'999,405,Rot,0,5,0
27,5415,5,17900,Audi,A6,2012,200'000 - 249'999,313,Schwarz,1,1,0
28,5420,5,29800,Volkswagen,Caddy,2019,65'000 - 69'999,130,Sonstige,0,2,0
29,5627,5,76800,Dodge,Durango,2022,0 - 4'999,365,Weiss,0,3,0
30,5401,4,9900,Volkswagen,Passat,2011,140'000 - 149'999,105,Grau,1,0,1
31,5324,5,2800,SEAT,Altea XL,2009,200'000 - 249'999,140,Schwarz,1,0,1
32,5630,5,20900,SEAT,Leon,2016,80'000 - 84'999,290,Weiss,0,0,0
33,5614,2,13900,Mercedes-Benz,SLK,2004,130'000 - 139'999,275,Silber,0,4,1
34,4314,5,16950,Volkswagen,T5,2008,190'000 - 199'999,130,Weiss,1,2,0
35,5610,5,18489,Toyota,Yaris,2022,0 - 4'999,111,Rot,0,1,1
36,5745,5,3900,Toyota,Yaris,2008,160'000 - 169'999,84,Grau,0,1,1
37,8952,5,9800,Opel,Astra,2015,60'000 - 64'999,99,Weiss,0,1,1
38,4812,2,89950,Mercedes-Benz,AMG,2016,55'000 - 59'999,510,Schwarz,0,5,0
39,5242,5,6000,Volkswagen,Polo,2011,130'000 - 139'999,63,Schwarz,0,1,1
40,5608,5,26900,Porsche,Panamera,2010,170'000 - 179'999,400,Schwarz,0,1,0
41,5502,5,20800,Mazda,CX-3,2018,45'000 - 49'999,120,Grau,0,3,0
42,5726,5,7600,Volkswagen,Polo,2011,140'000 - 149'999,105,Schwarz,0,1,1
43,5212,5,7000,Mitsubishi,Outlander,2013,130'000 - 139'999,156,Schwarz,1,3,0
45,5436,5,3900,Fiat,Croma,2009,140'000 - 149'999,147,Braun,0,0,0
46,5502,5,21500,Opel,Astra,2020,10'000 - 14'999,145,Sonstige,0,1,0
47,5734,5,6550,Volkswagen,Golf,2010,180'000 - 189'999,105,Silber,1,0,1
48,5725,5,9000,Mazda,3 MPS,2008,170'000 - 179'999,260,Grau,0,1,1
49,5610,4,10000,Subaru,Impreza,2000,250'000 - 299'999,218,Blau,0,1,1
50,5103,4,19900,Volkswagen,T5,2007,200'000 - 249'999,130,Schwarz,1,2,1
51,5630,5,9900,Volkswagen,Polo,2010,25'000 - 29'999,85,Sonstige,0,1,1
52,4665,5,26990,Volkswagen,Up,2022,0 - 4'999,83,Weiss,2,1,0
53,8957,5,8999,Smart,Forfour,2015,65'000 - 69'999,71,Gelb,0,1,1
54,5621,5,6900,Volkswagen,Up,2015,95'000 - 99'999,44,Weiss,0,1,1
55,4800,5,41481,Volvo,V60,2019,50'000 - 54'999,190,Blau,1,0,0
56,5610,5,24330,Peugeot,208,2022,0 - 4'999,100,Sonstige,0,1,1
57,5610,5,30900,Fiat,Doblo,2022,0 - 4'999,120,Grau,1,2,1
58,4852,5,188900,Mercedes-Benz,G-CLASS,2019,80'000 - 84'999,584,Schwarz,0,3,0
60,5001,5,22900,Mercedes-Benz,CLS,2013,150'000 - 159'999,260,Schwarz,1,1,0
61,5502,5,27900,Volkswagen,T-Cross,2021,10'000 - 14'999,110,Sonstige,0,3,0
62,5317,5,14900,Nissan,Qashqai,2016,90'000 - 94'999,115,Weiss,0,3,1
63,5036,5,44500,Mitsubishi,Eclipse Cross,2021,0 - 4'999,255,Rot,2,3,0
64,5200,5,3900,Volkswagen,Polo,2006,150'000 - 159'999,75,Blau,0,0,1
65,4665,5,32450,Audi,A1,2021,0 - 4'999,110,Grau,0,1,0
67,5430,2,42600,Mercedes-Benz,C-Klasse,2019,75'000 - 79'999,184,Grau,2,5,0
69,5645,5,3100,BMW,120,2007,190'000 - 199'999,176,Schwarz,1,1,1
71,5637,5,7800,Opel,Corsa,2011,75'000 - 79'999,100,Grau,0,1,1
72,5000,5,29950,Volkswagen,Golf,2015,70'000 - 74'999,300,Schwarz,0,0,0
73,5430,3,15700,Smart,Fortwo,2017,20'000 - 24'999,71,Silber,0,1,0
74,8957,5,10000,BMW,X1,2010,180'000 - 189'999,204,Grau,1,3,0
75,5610,4,39900,Volvo,S60,2020,5'000 - 9'999,250,Schwarz,0,1,0
76,5037,3,7500,Mini,JCW,2012,170'000 - 179'999,211,Silber,0,5,1
77,5612,3,2200,Peugeot,307,2006,160'000 - 169'999,103,Blau,0,4,1
78,5610,5,2789,Mitsubishi,Grandis,2005,200'000 - 249'999,165,Silber,0,2,0
80,5502,5,27800,Mercedes-Benz,GLA-Klasse,2018,55'000 - 59'999,156,Weiss,0,3,0
81,5603,3,14900,Fiat,Punto,2012,90'000 - 94'999,180,Schwarz,0,1,1
82,5415,5,1000,Volkswagen,Polo,2000,300'000 - 349'999,75,Blau,1,1,1
83,4800,5,25938,Volvo,V60 Cross Country,2017,110'000 - 119'999,190,Sonstige,1,0,0
84,5610,3,26989,Volkswagen,Golf,2017,45'000 - 49'999,245,Weiss,0,1,0
85,5742,5,5100,Opel,Corsa,2011,160'000 - 169'999,100,Grau,0,1,1
87,5608,5,17500,Opel,Insignia,2014,70'000 - 74'999,200,Schwarz,0,0,1
88,8917,5,21999,Mercedes-Benz,GL,2009,150'000 - 159'999,306,Blau,1,3,0
90,5643,5,3900,Citroën,C1,2013,140'000 - 149'999,68,Rot,0,1,1
91,5723,4,19000,BMW,520,2015,180'000 - 189'999,184,Grau,1,1,0
92,4665,5,26450,Volkswagen,Golf,2019,25'000 - 29'999,136,Blau,2,1,0
95,5604,5,16900,Volkswagen,Touran,2016,180'000 - 189'999,150,Silber,1,2,0
96,5417,3,1700,Nissan,Micra,2001,95'000 - 99'999,70,Rot,0,1,1
97,5702,5,5950,SEAT,Alhambra,2012,200'000 - 249'999,150,Schwarz,0,2,1
98,5430,5,198600,Mercedes-Benz,G-Klasse,2019,50'000 - 54'999,584,Silber,0,3,0
99,5600,5,42000,Porsche,Cayenne,2013,100'000 - 109'999,382,Schwarz,1,3,0
100,5000,5,46800,BMW,3er,2020,20'000 - 24'999,190,Weiss,1,0,0
101,5745,5,27699,Volkswagen,Golf,2016,85'000 - 89'999,265,Weiss,0,1,0
102,5032,5,28900,Ford,Ranger,2017,140'000 - 149'999,200,Gelb,1,3,0
103,5417,5,38900,Skoda,Kodiaq,2018,65'000 - 69'999,180,Schwarz,0,3,0
104,5322,4,2999,Renault,Mégane,2004,200'000 - 249'999,120,Schwarz,0,4,1
105,4663,5,3999,Peugeot,807,2007,200'000 - 249'999,145,Blau,0,0,0
107,5000,5,7500,Skoda,Octavia,2012,160'000 - 169'999,200,Schwarz,0,0,1
109,5316,5,2200,Renault,Mégane,2007,120'000 - 129'999,130,Blau,0,0,1
110,8918,3,18900,Fiat,Punto,1997,45'000 - 49'999,131,Gelb,0,1,1
111,5317,5,1800,Mercedes-Benz,C-Klasse,1997,300'000 - 349'999,150,Silber,1,0,0
112,8957,2,19900,BMW,325,2012,110'000 - 119'999,218,Schwarz,0,5,0
113,5745,5,12950,Mitsubishi,Space-serien,2022,0 - 4'999,71,Weiss,0,1,1
114,4852,3,15800,Volkswagen,Golf,2006,150'000 - 159'999,250,Schwarz,0,1,0
115,4310,2,9999,Chevrolet,Blazer,1988,200'000 - 249'999,200,Grau,0,3,0
116,5610,5,3950,Renault,Clio,2007,110'000 - 119'999,101,Grau,0,1,1
117,8957,5,36990,Audi,S8,2014,130'000 - 139'999,520,Grau,0,1,0
119,5317,5,9500,Audi,A3,2010,200'000 - 249'999,240,Schwarz,0,1,1
120,5417,4,2600,Peugeot,Partner,2002,120'000 - 129'999,55,Weiss,0,0,1
121,5035,5,141900,Mercedes-Benz,GLE-Klasse,2021,10'000 - 14'999,435,Weiss,2,3,0
122,5034,5,124900,Audi,RS,2020,75'000 - 79'999,599,Grau,2,0,0
123,5507,5,1800,Skoda,Octavia,2001,250'000 - 299'999,100,Grau,1,0,1
124,5745,5,64500,Jeep,Wrangler,2021,10'000 - 14'999,272,Schwarz,0,3,0
125,4805,3,47500,Mini,Mini,2020,15'000 - 19'999,306,Grau,0,1,0
126,5745,4,49800,Alfa Romeo,Giulia,2021,10'000 - 14'999,280,Schwarz,0,1,0
128,4665,5,31390,Volkswagen,Golf,2022,0 - 4'999,110,Grau,2,1,0
129,5745,4,2900,Volkswagen,Golf,2003,250'000 - 299'999,101,Grau,1,1,1
130,5430,5,21900,BMW,535,2013,140'000 - 149'999,313,Grau,1,0,0
131,5420,5,3250,Audi,A4,2002,200'000 - 249'999,150,Schwarz,0,0,1
133,5727,5,46900,BMW,X5,2016,110'000 - 119'999,381,Weiss,1,3,0
134,5608,5,43900,Skoda,Octavia,2020,20'000 - 24'999,245,Weiss,0,0,0
136,5316,5,7500,Renault,Laguna,2011,130'000 - 139'999,0,Sonstige,1,0,1
138,5430,5,70800,Mercedes-Benz,CLA-Klasse,2021,25'000 - 29'999,306,Schwarz,0,0,0
139,5000,5,18900,Skoda,Octavia,2013,75'000 - 79'999,180,Weiss,0,0,0
140,5724,2,14900,Mercedes-Benz,SL,2002,170'000 - 179'999,306,Blau,0,4,0
141,5032,5,2600,Volvo,PV,2001,120'000 - 129'999,200,Grau,0,1,0
142,4322,2,15990,BMW,Z-serien,2009,85'000 - 89'999,218,Silber,0,4,1
143,5417,5,31900,SEAT,Leon,2018,80'000 - 84'999,300,Grau,0,0,0
144,5610,5,48500,CUPRA,Formentor,2022,0 - 4'999,310,Grau,0,3,0
145,5316,4,3600,Volkswagen,Golf,1984,170'000 - 179'999,75,Rot,0,1,0
146,5405,5,13500,Renault,Clio,2014,100'000 - 109'999,200,Silber,0,1,0
147,4663,5,5800,Mercedes-Benz,A-CLASS,2011,100'000 - 109'999,95,Schwarz,0,1,1
149,6042,3,6500,Mini,Cooper,2008,100'000 - 109'999,120,Silber,0,5,1
150,5630,3,12499,BMW,330,2010,170'000 - 179'999,245,Schwarz,1,5,0
152,5502,5,43500,Hyundai,i30,2022,0 - 4'999,280,Sonstige,0,1,0
153,5303,2,4999,Audi,A1,2011,180'000 - 189'999,86,Weiss,0,1,1
154,5703,5,41000,Ford,Mustang,1966,200'000 - 249'999,203,Rot,0,1,0
155,5737,3,2900,Smart,Fortwo,2007,150'000 - 159'999,61,Schwarz,0,5,0
156,5606,5,26900,Mini,Cooper S,2018,30'000 - 34'999,192,Grau,0,1,0
159,5053,5,17999,Mazda,6,2017,70'000 - 74'999,150,Rot,1,0,1
160,5420,5,11800,Fiat,500L,2015,90'000 - 94'999,120,Weiss,1,2,1
161,8957,5,24500,Volvo,V40,2019,45'000 - 49'999,150,Schwarz,1,0,0
162,5634,5,18500,Audi,A5,2011,150'000 - 159'999,245,Sonstige,1,5,0
163,5036,5,5390,Mazda,6,2009,180'000 - 189'999,163,Schwarz,1,1,1
164,5034,5,12900,Peugeot,5008,2016,120'000 - 129'999,120,Weiss,1,0,0
165,5726,5,8500,Ford,Fiesta,2011,85'000 - 89'999,96,Sonstige,0,1,0
166,5467,5,22500,Audi,S5,2010,120'000 - 129'999,333,Schwarz,0,1,0
167,5452,5,19900,Ford,Focus,2016,30'000 - 34'999,182,Sonstige,0,1,0
169,5210,5,29992,Volkswagen,Golf,2020,15'000 - 19'999,110,Grau,2,1,0
170,5076,2,13900,BMW,125,2009,120'000 - 129'999,218,Schwarz,0,4,1
171,4665,5,39950,Audi,A3,2021,20'000 - 24'999,150,Schwarz,1,1,0
173,4800,5,14990,Opel,Astra,2017,85'000 - 89'999,150,Schwarz,0,0,1
174,5614,5,15000,Volkswagen,Sharan,2011,160'000 - 169'999,103,Silber,1,1,1
175,8956,5,10900,BMW,1er,2012,170'000 - 179'999,170,Grau,0,1,1
176,5406,5,8900,BMW,120,2004,55'000 - 59'999,150,Blau,0,1,1
177,5647,3,3500,Volkswagen,Corrado,1994,250'000 - 299'999,136,Grau,0,5,1
178,5210,5,4350,Nissan,Micra,2012,200'000 - 249'999,80,Braun,0,1,1
179,8957,5,5980,Volkswagen,Polo,2011,200'000 - 249'999,85,Weiss,0,1,1
180,5102,2,79900,BMW,2er,2021,10'000 - 14'999,410,Schwarz,0,5,0
181,5634,5,47999,BMW,X5,2014,95'000 - 99'999,530,Sonstige,0,3,0
182,4665,3,34000,BMW,M3,2000,150'000 - 159'999,343,Blau,0,5,1
183,5317,2,41900,BMW,2er,2017,15'000 - 19'999,340,Schwarz,0,5,0
184,4852,5,10880,Skoda,Fabia,2018,50'000 - 54'999,75,Schwarz,0,1,1
185,5054,2,115000,Ferrari,Testarossa,1989,35'000 - 39'999,379,Rot,0,1,1
186,5070,5,25920,Skoda,Fabia,2022,0 - 4'999,95,Grau,0,0,0
187,4800,5,19780,Volvo,V40,2016,50'000 - 54'999,150,Blau,1,0,0
189,5070,5,64900,Mercedes-Benz,A-Klasse,2021,5'000 - 9'999,306,Schwarz,0,1,0
190,5103,5,2900,Opel,Astra,2002,110'000 - 119'999,147,Sonstige,0,1,1
191,5745,5,31500,Toyota,RAV4,2019,55'000 - 59'999,175,Weiss,0,3,1
192,5702,5,55950,BMW,X5,2016,85'000 - 89'999,381,Schwarz,1,3,0
193,5276,4,23900,Subaru,Impreza,2003,180'000 - 189'999,265,Grau,0,1,1
194,5304,3,9900,Volkswagen,Golf,2007,180'000 - 189'999,230,Silber,0,1,0
195,5453,5,2300,Peugeot,106,2003,60'000 - 64'999,75,Rot,0,1,1
196,5436,2,14850,Fiat,Ritmo,1982,85'000 - 89'999,85,Rot,0,4,1
197,4123,5,20499,BMW,X5,2011,180'000 - 189'999,306,Braun,1,3,0
198,5043,5,11500,BMW,740,1995,170'000 - 179'999,290,Blau,0,1,0
199,5703,5,10900,Peugeot,2008,2015,75'000 - 79'999,99,Weiss,1,3,1
200,5412,3,6500,Volkswagen,Eos,2006,150'000 - 159'999,240,Schwarz,0,4,1
201,5502,4,13960,Hyundai,Veloster,2012,25'000 - 29'999,140,Sonstige,0,5,1
202,5405,5,1900,Opel,Zafira,2006,200'000 - 249'999,180,Grau,0,2,0
203,5507,5,4600,Audi,A6,2006,160'000 - 169'999,177,Schwarz,0,0,0
204,5036,5,52900,Mercedes-Benz,V-Klasse,2015,95'000 - 99'999,190,Schwarz,1,2,0
205,5316,4,48500,Mercedes-Benz,V-CLASS,2021,20'000 - 24'999,163,Sonstige,1,2,0
206,5400,5,24330,Peugeot,208,2022,0 - 4'999,100,Sonstige,0,1,1
207,5630,5,22900,Renault,Kadjar,2018,50'000 - 54'999,130,Sonstige,1,3,0
208,4665,5,3500,Mercedes-Benz,A-CLASS,2006,200'000 - 249'999,70,Sonstige,1,1,1
209,5502,3,6900,Volkswagen,Golf,1991,160'000 - 169'999,90,Grün,0,1,1
210,5522,5,3800,Mazda,Tribute,2001,170'000 - 179'999,190,Silber,0,3,0
211,5621,4,5700,Citroën,Jumpy,2011,200'000 - 249'999,100,Weiss,1,2,1
212,4805,5,16500,Lexus,RX,2011,200'000 - 249'999,272,Grau,2,3,0
213,5430,5,2800,Volkswagen,Golf,1999,250'000 - 299'999,110,Grau,1,1,0
214,5610,5,22900,Volkswagen,T5,2010,160'000 - 169'999,180,Sonstige,1,2,0
215,5452,5,103000,Land Rover,Range Rover,2022,0 - 4'999,250,Grau,0,3,0
216,5502,5,40700,BMW,X-serien,2020,25'000 - 29'999,150,Weiss,1,3,0
217,5610,5,26989,Jeep,Grand Cherokee,2013,170'000 - 179'999,468,Schwarz,0,3,0
219,4800,5,66120,Volvo,C40,2022,0 - 4'999,408,Weiss,2,1,0
220,4852,4,10900,Infiniti,Q50,2015,150'000 - 159'999,170,Grau,1,1,1
221,5605,5,10900,Chevrolet,Captiva,2012,140'000 - 149'999,184,Grau,1,3,0
224,8952,5,4500,Renault,Scénic,2012,130'000 - 139'999,120,Weiss,0,0,1
225,5420,4,15800,Citroën,Jumper,2010,45'000 - 49'999,120,Weiss,1,2,1
226,5502,5,41500,Opel,Grandland X,2020,20'000 - 24'999,200,Sonstige,2,3,0
227,5070,5,26800,Mercedes-Benz,A-Klasse,2019,20'000 - 24'999,109,Schwarz,0,1,1
228,5745,5,9299,Volkswagen,Passat,2011,250'000 - 299'999,300,Schwarz,0,0,0
229,5036,5,43300,Ford,Kuga,2022,0 - 4'999,224,Grau,2,3,0
230,5116,5,151970,Audi,RS,2021,25'000 - 29'999,600,Grau,0,0,0
231,5610,5,39000,BMW,X6,2011,110'000 - 119'999,306,Schwarz,1,5,0
232,5103,4,14900,Volkswagen,T5,2007,200'000 - 249'999,140,Schwarz,1,2,1
233,5035,5,35900,Mercedes-Benz,C-Klasse,2016,65'000 - 69'999,204,Grau,1,0,0
234,8964,5,2800,Peugeot,206,1999,85'000 - 89'999,90,Grün,0,1,1
235,5745,5,5699,Volkswagen,Touran,2006,120'000 - 129'999,140,Schwarz,0,2,1
236,5210,5,16500,Volkswagen,Polo,2015,110'000 - 119'999,150,Weiss,0,1,0
237,5723,3,10800,Peugeot,308,2010,65'000 - 69'999,156,Weiss,0,4,1
238,5722,5,5850,Renault,Scénic,2010,120'000 - 129'999,136,Sonstige,0,0,0
239,4852,5,19500,Ford,Transit Cust,2016,80'000 - 84'999,100,Gelb,1,2,1
241,5507,5,35990,BMW,520,2018,50'000 - 54'999,190,Grau,1,0,0
242,8956,4,10900,BMW,3er,2009,90'000 - 94'999,218,Grau,0,1,0
243,5504,5,6900,Saab,9-3,1998,65'000 - 69'999,151,Blau,0,1,0
244,4665,5,30950,Volkswagen,Golf,2018,45'000 - 49'999,184,Grau,1,1,0
246,5070,5,13900,Peugeot,308,2016,100'000 - 109'999,205,Blau,0,1,1
247,4852,5,8900,Mini,Cooper,2014,130'000 - 139'999,110,Braun,1,1,1
248,5000,5,34600,Mercedes-Benz,A-Klasse,2020,20'000 - 24'999,136,Grau,0,1,0
249,5035,5,48900,Mercedes-Benz,GLC-Klasse,2018,55'000 - 59'999,204,Grau,1,3,0
250,5400,5,2750,Ford,C Max,2005,170'000 - 179'999,110,Silber,1,2,1
251,5034,5,2000,Mercedes-Benz,E-CLASS,1998,170'000 - 179'999,125,Braun,1,1,1
252,5032,3,9000,Pontiac,Firebird,1989,200'000 - 249'999,174,Rot,0,5,0
253,4333,3,2000,Toyota,Corolla,1990,250'000 - 299'999,125,Weiss,0,1,1
254,5442,5,49900,CUPRA,Formentor,2022,5'000 - 9'999,310,Weiss,0,3,0
255,5420,5,32000,BMW,X1,2017,40'000 - 44'999,191,Schwarz,0,0,0
257,4665,5,20990,Renault,Twingo,2022,0 - 4'999,82,Silber,2,1,0
258,5452,5,78740,Jaguar,E-Pace,2022,0 - 4'999,200,Blau,2,3,0
259,5070,5,46900,Mercedes-Benz,GLC-Klasse,2017,50'000 - 54'999,258,Schwarz,1,3,0
261,5733,5,27300,Mitsubishi,EVO,2011,110'000 - 119'999,400,Schwarz,0,1,1
262,5605,5,36900,BMW,3er,2018,70'000 - 74'999,326,Blau,0,1,0
263,5611,2,2350,Smart,Fortwo,2002,170'000 - 179'999,61,Schwarz,0,4,0
264,4852,5,7300,Toyota,Verso S,2012,140'000 - 149'999,95,Weiss,0,2,1
265,5222,2,26900,Alfa Romeo,GTV,2002,160'000 - 169'999,218,Rot,0,5,1
266,5610,5,27700,Toyota,Corolla,2021,5'000 - 9'999,98,Weiss,2,1,0
267,5600,5,2000,Peugeot,307,2007,250'000 - 299'999,135,Grau,1,0,1
268,5036,5,25900,Ford,Focus,2019,40'000 - 44'999,125,Schwarz,0,1,0
269,4665,5,11900,Opel,Zafira,2012,140'000 - 149'999,164,Grau,1,0,1
270,5722,5,16900,Hyundai,i40,2012,55'000 - 59'999,177,Blau,0,0,1
271,5018,5,15400,Opel,Ampera,2012,55'000 - 59'999,150,Schwarz,2,1,0
272,5610,2,1100,Mitsubishi,Colt,2007,200'000 - 249'999,70,Rot,0,5,1
273,5322,2,3900,Mercedes-Benz,SLK,1997,160'000 - 169'999,193,Grau,0,4,0
274,5316,5,3900,Volkswagen,Golf,1982,110'000 - 119'999,60,Silber,0,5,1
275,5466,2,14950,Mercedes-Benz,SLK,2011,120'000 - 129'999,184,Schwarz,0,4,0
276,5244,5,4700,Volkswagen,Golf,2007,190'000 - 199'999,140,Grau,0,1,1
277,5610,5,25889,BMW,3er,2017,90'000 - 94'999,190,Schwarz,1,0,0
278,5112,5,2300,SEAT,Leon,2001,200'000 - 249'999,180,Gelb,0,1,1
279,5035,5,17800,Opel,Insignia,2014,75'000 - 79'999,194,Grün,1,0,0
280,5212,4,2200,Peugeot,207,2012,140'000 - 149'999,85,Weiss,0,1,1
281,5727,5,22500,Toyota,RAV4,2015,60'000 - 64'999,150,Schwarz,1,3,0
282,5745,3,3300,Opel,Corsa,2007,200'000 - 249'999,192,Blau,0,5,1
284,5506,4,6000,BMW,325,2000,130'000 - 139'999,192,Grau,0,1,1
285,5200,5,17500,BMW,325,2009,90'000 - 94'999,218,Schwarz,0,0,0
286,5605,2,850,Smart,Fortwo,2002,140'000 - 149'999,1234,Silber,0,5,0
287,4803,3,32500,Ford,Mustang,1968,120'000 - 129'999,97,Grün,0,5,0
288,5316,5,33900,Mercedes-Benz,A-Klasse,2021,15'000 - 19'999,136,Sonstige,0,1,1
289,5035,3,26900,Smart,Fortwo,2022,0 - 4'999,82,Grau,2,1,0
290,5504,4,8400,Skoda,Octavia,2010,170'000 - 179'999,200,Weiss,0,0,1
292,5737,5,2200,Audi,A4,2004,250'000 - 299'999,204,Schwarz,1,0,0
295,6042,5,1200,Daihatsu,Sirion,2007,300'000 - 349'999,92,Grün,0,1,1
296,5037,5,3500,Honda,Jazz,2006,100'000 - 109'999,99,Schwarz,0,2,1
297,5107,2,24990,Volkswagen,Beetle,1983,0 - 4'999,34,Rot,0,1,1
299,5000,5,31900,Toyota,Corolla,2022,0 - 4'999,179,Weiss,2,0,0
300,5054,2,18200,Alfa Romeo,Spider,1991,85'000 - 89'999,120,Rot,0,4,1
301,5703,4,16900,BMW,5er,2010,90'000 - 94'999,204,Silber,1,1,0
302,5610,2,24989,Lexus,SC Cabriolet,2003,70'000 - 74'999,285,Blau,0,4,0
303,5116,5,21960,Volkswagen,Golf,2017,85'000 - 89'999,125,Schwarz,0,1,0
304,5734,4,22300,Mercedes-Benz,450,1979,140'000 - 149'999,217,Grün,0,1,0
306,5644,4,13800,Volkswagen,T4,1994,250'000 - 299'999,78,Weiss,1,2,1
307,5734,3,2500,Ford,Probe,1997,140'000 - 149'999,163,Rot,0,5,1
309,5745,3,1950,Mercedes-Benz,C-CLASS,2004,200'000 - 249'999,150,Silber,1,5,0
310,5034,5,54800,Audi,S,2017,60'000 - 64'999,400,Grau,0,1,0
311,5316,5,7900,Honda,Legend,2007,200'000 - 249'999,295,Grau,0,1,0
312,5604,5,9000,Volkswagen,Golf,2013,200'000 - 249'999,105,Grau,1,1,1
314,5033,5,3000,Mercedes-Benz,A-CLASS,2000,80'000 - 84'999,1598,Blau,0,1,0
315,5745,5,28500,BMW,X-serien,2017,80'000 - 84'999,231,Schwarz,1,3,0
317,4665,5,20990,Renault,Twingo,2022,0 - 4'999,82,Schwarz,2,1,0
318,5502,5,21800,Volkswagen,Polo,2019,15'000 - 19'999,115,Sonstige,0,1,0
319,5502,5,25800,Ford,EcoSport,2022,0 - 4'999,125,Sonstige,0,3,1
320,4322,5,35285,Hyundai,Kona,2022,5'000 - 9'999,105,Blau,2,3,0
321,5082,2,54500,Ford,Mustang,2020,25'000 - 29'999,466,Sonstige,0,5,0
322,5442,5,39980,Audi,Q5,2016,75'000 - 79'999,190,Grau,1,3,0
323,5078,5,3490,Volvo,940,1994,350'000 - 399'999,131,Blau,0,0,0
324,5745,5,35500,Peugeot,3008,2021,20'000 - 24'999,130,Schwarz,0,3,0
327,5610,4,18800,Volkswagen,T6,2017,160'000 - 169'999,150,Silber,1,2,1
328,4663,3,74900,BMW,M,2020,20'000 - 24'999,580,Schwarz,0,4,0
329,5430,5,61900,Audi,A6,2017,45'000 - 49'999,326,Grau,1,0,0
330,8957,4,19900,BMW,X6,2010,150'000 - 159'999,306,Schwarz,1,5,0
331,5200,5,4990,BMW,X3,2004,250'000 - 299'999,218,Grau,1,3,0
332,5610,3,7200,Opel,Astra,2008,100'000 - 109'999,200,Schwarz,0,4,1
333,5037,3,2999,Opel,Corsa,2011,200'000 - 249'999,211,Grün,0,1,1
334,5745,5,2700,Volkswagen,Polo,2003,170'000 - 179'999,75,Grau,0,1,1
335,5210,5,10300,Volkswagen,Tiguan,2011,190'000 - 199'999,140,Grau,1,3,0
336,5627,2,139800,Dodge,Challenger,2022,0 - 4'999,808,Schwarz,0,5,0
337,5726,5,9999,SEAT,Ibiza,2011,110'000 - 119'999,150,Weiss,0,1,0
338,5430,5,78600,Mercedes-Benz,EQC,2021,15'000 - 19'999,408,Silber,2,3,0
339,5703,3,11900,Volkswagen,Polo,2017,70'000 - 74'999,60,Schwarz,0,1,1
340,5116,5,74990,Audi,Q5,2021,5'000 - 9'999,265,Grün,0,1,0
341,5113,5,26900,BMW,5er,2016,120'000 - 129'999,258,Blau,1,0,0
342,5000,5,2990,Fiat,Punto,2012,180'000 - 189'999,105,Grün,0,1,1
343,5035,5,45900,Mercedes-Benz,A-Klasse,2021,40'000 - 44'999,224,Weiss,0,1,0
344,5113,5,17500,Opel,Astra,2017,90'000 - 94'999,200,Schwarz,0,1,0
345,5430,5,94600,Mercedes-Benz,E-Klasse,2021,10'000 - 14'999,435,Grau,2,0,0
346,5606,3,3300,Opel,Corsa,2007,170'000 - 179'999,100,Grau,0,1,1
347,5637,5,5500,Suzuki,Alto,2009,160'000 - 169'999,68,Schwarz,0,1,1
