Unnamed: 0,PLZ,TUEREN,PREIS,MARKE,MODELL,REGDATE,KM_STAND,LEISTUNG_PS,FARBE,TREIBSTOFF,AUFBAU,GETRIEBE_TYP
10128,1700,5,15900,BMW,320,2014,170'000 - 179'999,184,Grau,1,0,0
10129,3185,5,26000,Volkswagen,Golf,2017,80'000 - 84'999,230,Sonstige,0,1,0
10130,1772,5,2800,Peugeot,206,2010,130'000 - 139'999,75,Schwarz,0,1,1
10131,1784,5,7990,SEAT,Altea,2013,100'000 - 109'999,125,Sonstige,0,2,1
10132,3178,5,15990,Mercedes-Benz,C-Klasse,2011,160'000 - 169'999,204,Grau,1,0,0
10135,1752,5,45890,Opel,Combo,2021,5'000 - 9'999,136,Sonstige,2,0,0
10136,1791,5,8900,Mercedes-Benz,180,2011,15'000 - 19'999,115,Schwarz,0,1,0
10137,3178,5,15999,Audi,Q5,2012,160'000 - 169'999,211,Grau,0,3,1
10139,3286,5,5000,Peugeot,807,2012,160'000 - 169'999,136,Weiss,1,2,1
10140,1784,5,9990,Skoda,Fabia,2015,140'000 - 149'999,110,Blau,0,1,1
10141,1772,5,6500,Renault,Clio,2015,120'000 - 129'999,90,Rot,0,1,1
10142,1617,5,12900,Mercedes-Benz,B-Klasse,2012,120'000 - 129'999,156,Blau,0,2,0
10143,1753,5,32890,Volkswagen,T-Roc,2018,35'000 - 39'999,190,Weiss,0,3,0
10145,3286,5,16500,Porsche,Cayenne,2010,250'000 - 299'999,400,Weiss,0,3,0
10146,1723,5,27170,Suzuki,Swift,2021,0 - 4'999,129,Rot,2,1,1
10147,1753,5,39900,Renault,Espace,2020,20'000 - 24'999,224,Sonstige,0,2,0
10149,1753,5,12900,Dacia,Duster,2016,50'000 - 54'999,125,Sonstige,0,3,1
10150,1784,2,25900,BMW,2er,2016,45'000 - 49'999,252,Rot,0,5,0
10153,1772,5,1900,Chevrolet,Lacetti,2006,85'000 - 89'999,109,Grau,0,1,1
10154,3178,5,15900,Mercedes-Benz,C-Klasse,2013,110'000 - 119'999,156,Silber,0,0,0
10155,1784,4,54990,Volkswagen,Amarok,2019,65'000 - 69'999,258,Grau,1,3,0
10156,1746,5,23500,Peugeot,208,2020,0 - 4'999,100,Blau,0,1,1
10157,1649,2,13500,Porsche,Boxster,2003,160'000 - 169'999,228,Grau,0,4,1
10158,3210,5,25000,SEAT,Alhambra,2015,95'000 - 99'999,150,Schwarz,0,2,0
10159,3178,5,11990,Peugeot,3008,2013,150'000 - 159'999,163,Weiss,2,2,0
10161,3178,4,6600,BMW,3er,2007,200'000 - 249'999,218,Schwarz,0,1,1
10163,1752,5,29990,Opel,Corsa,2020,5'000 - 9'999,136,Sonstige,2,1,0
10165,1637,5,34000,Mercedes-Benz,B-CLASS,2016,65'000 - 69'999,211,Grau,0,0,0
10166,1773,3,14500,Ford,Capri,1984,100'000 - 109'999,100,Rot,0,5,1
10167,3286,5,25500,Suzuki,Swace,2021,0 - 4'999,122,Blau,2,0,0
10168,3178,5,16499,Volkswagen,Golf,2012,110'000 - 119'999,235,Weiss,0,1,0
10170,1736,5,2950,Subaru,Legacy/Outback,2009,170'000 - 179'999,160,Grau,0,0,0
10171,1541,5,7500,Toyota,RAV4,1996,140'000 - 149'999,128,Rot,0,3,0
10173,1753,5,32490,Mazda,CX-3,2022,0 - 4'999,121,Rot,0,3,0
10175,1752,5,21900,Opel,Vivaro,2017,20'000 - 24'999,120,Weiss,1,2,1
10176,3175,2,149000,Mercedes-Benz,SL,1958,0 - 4'999,121,Silber,0,4,1
10178,1784,5,9800,Volkswagen,Golf,2012,85'000 - 89'999,122,Blau,0,1,1
10179,3280,3,8700,Audi,A4,2003,150'000 - 159'999,220,Schwarz,0,4,1
10180,1700,5,4450,SEAT,Altea,2009,180'000 - 189'999,118,Schwarz,0,1,1
10181,1772,5,16900,Nissan,Qashqai,2016,80'000 - 84'999,130,Braun,1,3,1
10182,1753,2,51990,Audi,Cabriolet,2019,40'000 - 44'999,252,Weiss,0,4,0
10183,1723,3,43800,Mini,Mini,2021,0 - 4'999,231,Sonstige,0,1,0
10184,3178,5,8990,Volkswagen,Polo,2013,160'000 - 169'999,105,Weiss,0,1,1
10185,1752,5,27990,Mazda,MX-30,2020,5'000 - 9'999,143,Grau,2,3,0
10188,3280,5,71580,Skoda,Superb,2022,0 - 4'999,200,Grau,1,0,0
10189,1541,3,3500,Mitsubishi,Colt,1999,85'000 - 89'999,75,Sonstige,0,1,1
10190,3175,2,55500,Ford,Mustang,1966,95'000 - 99'999,205,Weiss,0,4,0
10192,1752,4,63697,Opel,Zafira,2021,0 - 4'999,120,Sonstige,1,2,1
10196,1723,5,87200,Jaguar,I-Pace,2021,0 - 4'999,400,Grau,2,3,0
10197,3178,5,19499,Volkswagen,Passat,2018,160'000 - 169'999,190,Weiss,1,0,0
10198,1669,5,6800,Subaru,Forester,2010,200'000 - 249'999,147,Sonstige,1,3,1
10199,1753,4,21900,Nissan,NV250,2021,15'000 - 19'999,115,Weiss,1,2,1
10200,1752,5,38499,Opel,Astra,2021,10'000 - 14'999,145,Sonstige,0,1,0
10202,3178,5,21999,Porsche,Cayenne,2010,180'000 - 189'999,299,Schwarz,0,3,0
10203,1753,5,33900,Audi,A3,2020,10'000 - 14'999,150,Grau,0,1,0
10204,3185,5,22300,Mazda,2,2021,0 - 4'999,90,Schwarz,0,1,1
10205,3178,5,44900,BMW,X-serien,2014,60'000 - 64'999,258,Schwarz,1,3,0
10207,1723,2,44900,BMW,2er,2021,15'000 - 19'999,184,Schwarz,0,4,0
10208,3286,5,1200,Peugeot,307,2004,150'000 - 159'999,136,Grau,0,0,0
10210,1752,5,28559,Opel,Insignia,2017,55'000 - 59'999,170,Sonstige,1,1,0
10211,1617,5,9900,Ford,Fiesta,2015,85'000 - 89'999,100,Weiss,0,1,1
10212,1753,5,36990,Volkswagen,T-Roc,2019,20'000 - 24'999,190,Rot,0,3,0
10213,1752,5,28999,Opel,Grandland X,2020,0 - 4'999,130,Sonstige,0,3,1
10214,3286,2,11500,Renault,Maxity,2011,160'000 - 169'999,130,Weiss,1,2,1
10216,1752,5,20900,Opel,Insignia,2015,85'000 - 89'999,325,Sonstige,0,0,0
10217,1784,5,14250,Nissan,Juke,2015,85'000 - 89'999,218,Sonstige,0,3,1
10218,1752,5,29990,Opel,Mokka,2021,5'000 - 9'999,130,Sonstige,0,3,0
10220,1723,5,39900,BMW,5er,2019,45'000 - 49'999,190,Silber,1,0,0
10221,3178,3,8900,Suzuki,Jimny,2000,140'000 - 149'999,80,Rot,0,3,1
10222,3178,5,7990,Subaru,Legacy/Outback,2007,170'000 - 179'999,245,Grau,0,0,0
10223,1752,5,25959,Opel,Astra,2020,5'000 - 9'999,145,Sonstige,0,1,1
10224,3280,5,5200,Volkswagen,Golf,2001,100'000 - 109'999,105,Blau,0,1,1
10226,3213,5,2400,Opel,Astra,2002,200'000 - 249'999,100,Grau,0,0,1
10227,3178,5,12499,Volkswagen,Passat,2012,150'000 - 159'999,210,Schwarz,0,0,0
